단지코드,단지명,시도,시군구,읍면동,법정동코드
A12009201,홍제성원아파트,서울특별시,서대문구,홍제동,1141011100
A12009202,홍제삼성래미안,서울특별시,서대문구,홍제동,1141011100
A12009304,홍제유원하나,서울특별시,서대문구,홍제동,1141011100
A12009305,문화촌현대,서울특별시,서대문구,홍제동,1141011100
A12010101,홍은풍림1차,서울특별시,서대문구,홍은동,1141011800
A12010202,홍은풍림아이원,서울특별시,서대문구,홍은동,1141011800
A12010203,홍은극동,서울특별시,서대문구,홍은동,1141011800
A12011002,연희대우,서울특별시,서대문구,연희동,1141011700
A12012001,쌍용스윗닷홈,서울특별시,서대문구,남가좌동,1141012000
A12012101,래미안남가좌2차,서울특별시,서대문구,남가좌동,1141012000
A12012202,DMC래미안클라시스(분양),서울특별시,서대문구,남가좌동,1141012000
A12013001,DMC휴먼빌,서울특별시,서대문구,북가좌동,1141011900
A12013003,DMC래미안e편한세상,서울특별시,서대문구,북가좌동,1141011900
A12013101,디엠씨현대,서울특별시,서대문구,북가좌동,1141011900
A12013201,DMC두산위브,서울특별시,서대문구,북가좌동,1141011900
A12013202,북가좌삼호,서울특별시,서대문구,북가좌동,1141011900
A12017001,신촌럭키,서울특별시,서대문구,대현동,1141011200
A12070201,충정리시온,서울특별시,서대문구,충정로3가,1141010200
A12071001,홍은두산,서울특별시,서대문구,홍은동,1141011800
A12071003,홍은미성아파트,서울특별시,서대문구,홍은동,1141011800
A12071101,연희성원,서울특별시,서대문구,연희동,1141011700
A12071102,연희임광아파트,서울특별시,서대문구,연희동,1141011700
A12072801,DMC센트레빌,서울특별시,서대문구,남가좌동,1141012000
A12072802,남가좌현대제2,서울특별시,서대문구,남가좌동,1141012000
A12076401,홍제비콘드림힐,서울특별시,서대문구,홍제동,1141011100
A12076601,북가좌삼호제2,서울특별시,서대문구,북가좌동,1141011900
A12078201,인왕산현대,서울특별시,서대문구,홍제동,1141011100
A12078704,홍제원 현대,서울특별시,서대문구,홍제동,1141011100
A12078705,홍제인왕산현대,서울특별시,서대문구,홍제동,1141011100
A12079501,북아현두산,서울특별시,서대문구,북아현동,1141011000
A12081602,월드컵현대,서울특별시,서대문구,북가좌동,1141011900
A12081703,디엠씨한양,서울특별시,서대문구,북가좌동,1141011900
A12084504,홍은현대,서울특별시,서대문구,홍은동,1141011800
A12085303,홍제한양,서울특별시,서대문구,홍제동,1141011100
A12086001,홍제태영으뜸,서울특별시,서대문구,홍제동,1141011100
A12101001,서서울삼성아파트,서울특별시,마포구,아현동,1144010100
A12102002,공덕한화꿈에그린,서울특별시,마포구,공덕동,1144010200
A12102005,마포현대아파트,서울특별시,마포구,공덕동,1144010200
A12102008,삼성래미안공덕2차,서울특별시,마포구,공덕동,1144010200
A12103006,대우메트로디오빌,서울특별시,마포구,신공덕동,1144010300
A12104005,마포삼성,서울특별시,마포구,도화동,1144010400
A12105001,마포쌍용황금,서울특별시,마포구,마포동,1144010700
A12106001,토정한강삼성,서울특별시,마포구,토정동,1144010600
A12109001,마포자이,서울특별시,마포구,염리동,1144010900
A12111001,마포경남아너스빌,서울특별시,마포구,신수동,1144011100
A12112001,밤섬현대,서울특별시,마포구,현석동,1144011200
A12114001,서강GS,서울특별시,마포구,신정동,1144011700
A12119006,서강쌍용예가,서울특별시,마포구,창전동,1144011400
A12125202,성산월드타운대림,서울특별시,마포구,성산동,1144012500
A12127001,상암월드컵파크5단지,서울특별시,마포구,상암동,1144012700
A12127002,상암월드컵파크6단지,서울특별시,마포구,상암동,1144012700
A12127003,상암월드컵파크3단지,서울특별시,마포구,상암동,1144012700
A12127004,상암월드컵파크2단지,서울특별시,마포구,상암동,1144012700
A10028201,인현신성,서울특별시,중구,인현동2가,1114013400
